Rank,Name,Revenue,Profit,Asset,Employee,Country,Shortname
6,Saudi Aramco,355905,110975,358873,76418,Saudi Arabia,Saudi Aramco
11,Apple,265595,59531,365725,132000,U.S.,Apple
26,Industrial & Commercial Bank of China,168979,45002,4034482,449296,China,Ind. & Comm. Bank of China
15,Samsung Electronics,221579,39895,304165,309630,South Korea,Samsung Electronics
31,China Construction Bank,151111,38498,3382422,366996,China,China Constr. Bank
41,JPMorgan Chase & Co.,131412,32474,2622532,256105,U.S.,JPMorgan Chase & Co.
37,Alphabet,136819,30736,232792,98771,U.S.,Alphabet
36,Agricultural Bank of China,139524,30657,3293105,477526,China,Agri. Bank of China
58,Bank of America Corp.,110584,28147,2354507,204489,U.S.,Bank of America Corp.
44,Bank of China,127714,27225,3097612,310119,China,Bank of China
3,Royal Dutch Shell,396556,23352,399194,81000,Netherlands,Royal Dutch Shell
42,Gazprom,131302,23199,300355,466100,Russia,Gazprom
69,Wells Fargo,101060,22393,1895883,258700,U.S.,Wells Fargo
184,Facebook,55838,22112,97334,35587,U.S.,Facebook
135,Intel,70848,21053,127963,107400,U.S.,Intel
8,Exxon Mobil,290212,20840,346196,71000,U.S.,Exxon Mobil
25,AT&T,170756,19370,531864,268220,U.S.,AT&T
71,Citigroup,97120,18045,1917383,204000,U.S.,Citigroup
10,Toyota Motor,272612,16982,469296,370870,Japan,Toyota Motor
67,China Development Bank,103073,16744,2356616,9507,China,China Dev. Bank
